T2K 0L2,CALGARY,AB,7,51.102653,-114.057329
T2W 0Y5,CALGARY,AB,7,50.959556,-114.098705
T3B 0G2,CALGARY,AB,7,51.0875914,-114.1838946
T2W 1Z9,CALGARY,AB,7,50.9377392,-114.079973
T2M 3G7,CALGARY,AB,7,51.064009,-114.07712
T1Y 3R3,CALGARY,AB,7,51.0793304,-113.9532136
T2Z 4C8,CALGARY,AB,7,50.912597,-113.946301
T2T 3S6,CALGARY,AB,7,51.023875,-114.093694
T3A 1A2,CALGARY,AB,7,51.092332,-114.149066
T3A 1Y5,CALGARY,AB,7,51.1131855,-114.1666465
T3B 4M2,CALGARY,AB,7,51.110696,-114.209145
T3H 5W9,CALGARY,AB,7,51.05694,-114.201673
T2W 1M8,CALGARY,AB,7,50.944752,-114.082087
T3G 5S8,CALGARY,AB,7,51.151497,-114.23618
T2V 4V9,CALGARY,AB,7,50.970753,-114.138726
T2Z 0Y7,CALGARY,AB,7,50.9231059,-113.9590279
T2H 2M4,CALGARY,AB,7,50.999781,-114.037258
T3M 1V7,CALGARY,AB,7,50.887318,-113.970139
T2A 4E7,CALGARY,AB,7,51.049853,-113.951347
T2K 0T7,CALGARY,AB,7,50.999177,-114.063585
T2X 3C8,CALGARY,AB,7,50.908196,-114.059419
T2E 2B5,CALGARY,AB,7,51.0778395,-114.061208
T2Y 3L4,CALGARY,AB,7,50.9017518,-114.0750448
T3P 0L5,CALGARY,AB,7,51.174985,-114.118947
T2T 1L1,CALGARY,AB,7,51.028597,-114.116016
T2K 5C2,CALGARY,AB,7,51.113707,-114.060833
T3M 2L5,CALGARY,AB,7,50.89112,-113.945598
T2C 5V8,CALGARY,AB,7,50.976522,-113.9351097
T2J 5G6,CALGARY,AB,7,50.932968,-114.059069
T2K 4G7,CALGARY,AB,7,51.123451,-114.067095
T3E 2L4,CALGARY,AB,7,51.003896,-114.126995
T2V 4T2,CALGARY,AB,7,50.963117,-114.116169
T2J 5Y6,CALGARY,AB,7,50.92684,-114.022468
T3R 0A1,CALGARY,AB,7,51.156683,-114.161815
T2P 0V9,CALGARY,AB,7,51.0508055,-114.0709065
T3A 5E9,CALGARY,AB,7,51.13286,-114.137559
T3C 0B2,CALGARY,AB,7,51.050538,-114.143158
T3M 0W9,CALGARY,AB,7,50.8780691,-113.9757011
T1Y 3K6,CALGARY,AB,7,51.074872,-113.977837
T3C 3G7,CALGARY,AB,7,51.053541,-114.15032
T2N 3Z6,CALGARY,AB,7,51.071502,-114.136111
T3J 1T4,CALGARY,AB,7,51.099912,-113.944462
T3B 1P4,CALGARY,AB,7,51.085406,-114.200942
T2V 5C1,CALGARY,AB,7,50.972115,-114.105469
T2B 1L1,CALGARY,AB,7,51.0328091,-113.9673329
T3K 1N2,CALGARY,AB,7,51.129834,-114.0673105
T2P 2T5,CALGARY,AB,7,51.046847,-114.075283
T2J 4G8,CALGARY,AB,7,50.93834,-114.024769
T2N 0A4,CALGARY,AB,7,51.056389,-114.078812
T2X 3T6,CALGARY,AB,7,50.878662,-114.031294
T2J 7B5,CALGARY,AB,7,50.943777,-114.025621
T2S 3B5,CALGARY,AB,7,51.023127,-114.064409
T3L 1R2,CALGARY,AB,7,51.118672,-114.220825
T3E 4Y9,CALGARY,AB,7,51.014502,-114.149812
T2G 1G6,CALGARY,AB,7,51.03373,-114.047961
T1Y 2A5,CALGARY,AB,7,51.088111,-113.963595
T3H 4M4,CALGARY,AB,7,51.061054,-114.188483
T3G 3T8,CALGARY,AB,7,51.133321,-114.174474
T3E 2S3,CALGARY,AB,7,51.024433,-114.134064
T2K 5Y5,CALGARY,AB,7,51.1019179,-114.053449
T2X 4K5,CALGARY,AB,7,50.876034,-114.078798
T2Z 0S2,CALGARY,AB,7,50.9071219,-113.9607119
T2Y 2H2,CALGARY,AB,7,50.914278,-114.079994
T2H 0E3,CALGARY,AB,7,51.002872,-114.066242
T3B 5T5,CALGARY,AB,7,51.092442,-114.25327
T2C 0W5,CALGARY,AB,7,50.987776,-114.005915
T3N 0A9,CALGARY,AB,7,51.1564293,-113.9627354
T2S 1L9,CALGARY,AB,7,51.01402,-114.082644
T2A 7Z1,CALGARY,AB,7,51.039159,-113.929826
T3K 0Y6,CALGARY,AB,7,51.1487021,-114.066704
T2S 1Y1,CALGARY,AB,7,51.024527,-114.070824
T2N 0V6,CALGARY,AB,7,51.059149,-114.1350239
T3G 4K7,CALGARY,AB,7,51.148551,-114.171663
T3A 0M9,CALGARY,AB,7,51.092072,-114.147221
T2N 2Z2,CALGARY,AB,7,51.058411,-114.139961
T2C 0T9,CALGARY,AB,7,50.991564,-114.005052
